committee;chamber;congress;year_start;year_end;full_name;first_name;last_name;party;state;role
Agricultura;House;119;2025;2026;Glenn Thompson;Glenn;Thompson;Republican;Pensilvania;Chair
Agricultura;House;119;2025;2026;Angie Craig;Angie;Craig;Democrat;Minnesota;Ranking Member
Agricultura;House;119;2025;2026;Dusty Johnson;Dusty;Johnson;Republican;Dakota del Sur;Subcommittee Chair
Agricultura;House;119;2025;2026;Don Davis;Don;Davis;Democrat;;Subcommittee Ranking
Agricultura;House;119;2025;2026;Frank Lucas;Frank;Lucas;Republican;Oklahoma;Subcommittee Chair
Agricultura;House;119;2025;2026;Jill Tokuda;Jill;Tokuda;Democrat;HI;Subcommittee Ranking
Agricultura;House;119;2025;2026;Doug LaMalfa;Doug;LaMalfa;Republican;California;Subcommittee Chair
Agricultura;House;119;2025;2026;Andrea Salinas;Andrea;Salinas;Democrat;OR;Subcommittee Ranking
Agricultura;House;119;2025;2026;Austin Scott;Austin;Scott;Republican;Georgia;Subcommittee Chair
Agricultura;House;119;2025;2026;Sharice Davids;Sharice;Davids;Democrat;KS;Subcommittee Ranking
Agricultura;House;119;2025;2026;Tracey Mann;Tracey;Mann;Unknown;;Subcommittee Chair
Agricultura;House;119;2025;2026;Jim Costa;Jim;Costa;Democrat;;Subcommittee Ranking
Agricultura;House;119;2025;2026;Brad Finstad;Brad;Finstad;Republican;Minnesota;Subcommittee Chair
Agricultura;House;119;2025;2026;Jahana Hayes;Jahana;Hayes;Democrat;Connecticut;Subcommittee Ranking
Asignaciones;House;119;2025;2026;Tom Cole;Tom;Cole;Republican;Oklahoma;Chair
Asignaciones;House;119;2025;2026;Rosa DeLauro;Rosa;DeLauro;Democrat;Connecticut;Ranking Member
Asignaciones;House;119;2025;2026;Andy Harris;Andy;Harris;Republican;Maryland;Subcommittee Chair
Asignaciones;House;119;2025;2026;Sanford Bishop;Sanford;Bishop;Democrat;;Subcommittee Ranking
Asignaciones;House;119;2025;2026;Hal Rogers;Hal;Rogers;Republican;Kentucky;Subcommittee Chair
Asignaciones;House;119;2025;2026;Grace Meng;Grace;Meng;Democrat;;Subcommittee Ranking
Asignaciones;House;119;2025;2026;Ken Calvert;Ken;Calvert;Republican;;Subcommittee Chair
Asignaciones;House;119;2025;2026;Betty McCollum;Betty;McCollum;Democrat;;Subcommittee Ranking
Asignaciones;House;119;2025;2026;Chuck Fleischmann;Chuck;Fleischmann;Republican;Tennessee;Subcommittee Chair
Asignaciones;House;119;2025;2026;Marcy Kaptur;Marcy;Kaptur;Democrat;Ohio;Subcommittee Ranking
Asignaciones;House;119;2025;2026;Dave Joyce;Dave;Joyce;Republican;Ohio;Subcommittee Chair
Asignaciones;House;119;2025;2026;Steny Hoyer;Steny;Hoyer;Democrat;Maryland;Subcommittee Ranking
Seguridad Nacional;House;119;2025;2026;Mark Amodei;Mark;Amodei;Republican;Nevada;Chair
Seguridad Nacional;House;119;2025;2026;Lauren Underwood;Lauren;Underwood;Democrat;IL;Ranking Member
Seguridad Nacional;House;119;2025;2026;Mike Simpson;Mike;Simpson;Republican;Idaho;Subcommittee Chair
Seguridad Nacional;House;119;2025;2026;Chellie Pingree;Chellie;Pingree;Democrat;Maine;Subcommittee Ranking
Seguridad Nacional;House;119;2025;2026;Robert Aderholt;Robert;Aderholt;Republican;Alabama;Subcommittee Chair
Seguridad Nacional;House;119;2025;2026;Rosa DeLauro;Rosa;DeLauro;Democrat;Connecticut;Subcommittee Ranking
Seguridad Nacional;House;119;2025;2026;David Valadao;David;Valadao;Republican;;Subcommittee Chair
Seguridad Nacional;House;119;2025;2026;Adriano Espaillat;Adriano;Espaillat;Democrat;;Subcommittee Ranking
Seguridad Nacional;House;119;2025;2026;John Carter;John;Carter;Republican;Texas;Subcommittee Chair
Seguridad Nacional;House;119;2025;2026;Debbie Wasserman Schultz;Debbie;Wasserman Schultz;Democrat;;Subcommittee Ranking
Seguridad Nacional;House;119;2025;2026;Mario Díaz-Balart;Mario;Díaz-Balart;Republican;;Subcommittee Chair
Seguridad Nacional;House;119;2025;2026;Lois Frankel;Lois;Frankel;Democrat;;Subcommittee Ranking
Seguridad Nacional;House;119;2025;2026;Steve Womack;Steve;Womack;Republican;Arkansas;Subcommittee Chair
Seguridad Nacional;House;119;2025;2026;Jim Clyburn;Jim;Clyburn;Democrat;;Subcommittee Ranking
Servicios armados;House;119;2025;2026;Mike Rogers;Mike;Rogers;Republican;;Chair
Servicios armados;House;119;2025;2026;Adam Smith;Adam;Smith;Democrat;;Ranking Member
Servicios armados;House;119;2025;2026;Don Bacon;Don;Bacon;Republican;Nebraska;Subcommittee Chair
Servicios armados;House;119;2025;2026;Ro Khanna;Ro;Khanna;Democrat;;Subcommittee Ranking
Servicios armados;House;119;2025;2026;Ronny Jackson;Ronny;Jackson;Republican;;Subcommittee Chair
Servicios armados;House;119;2025;2026;Jason Crow;Jason;Crow;Democrat;Colorado;Subcommittee Ranking
Servicios armados;House;119;2025;2026;Pat Fallon;Pat;Fallon;Republican;;Subcommittee Chair
Servicios armados;House;119;2025;2026;Chrissy Houlahan;Chrissy;Houlahan;Democrat;Pensilvania;Subcommittee Ranking
Servicios armados;House;119;2025;2026;Jack Bergman;Jack;Bergman;Republican;Michigan;Subcommittee Chair
Servicios armados;House;119;2025;2026;John Garamendi;John;Garamendi;Democrat;;Subcommittee Ranking
Servicios armados;House;119;2025;2026;Trent Kelly;Trent;Kelly;Republican;Mississippi;Subcommittee Chair
Servicios armados;House;119;2025;2026;Joe Courtney;Joe;Courtney;Democrat;;Subcommittee Ranking
Servicios armados;House;119;2025;2026;Scott DesJarlais;Scott;DesJarlais;Republican;Tennessee;Subcommittee Chair
Servicios armados;House;119;2025;2026;Seth Moulton;Seth;Moulton;Democrat;Massachusetts;Subcommittee Ranking
Servicios armados;House;119;2025;2026;Rob Wittman;Rob;Wittman;Republican;;Subcommittee Chair
Servicios armados;House;119;2025;2026;Donald Norcross;Donald;Norcross;Democrat;;Subcommittee Ranking
Presupuesto;House;119;2025;2026;Jodey Arrington;Jodey;Arrington;Republican;;Chair
Presupuesto;House;119;2025;2026;Brendan Boyle;Brendan;Boyle;Democrat;Pensilvania;Ranking Member
Educación y fuerza laboral;House;119;2025;2026;Tim Walberg;Tim;Walberg;Republican;Michigan;Chair
Educación y fuerza laboral;House;119;2025;2026;Bobby Scott;Bobby;Scott;Democrat;;Ranking Member
Educación y fuerza laboral;House;119;2025;2026;Kevin Kiley;Kevin;Kiley;Republican;;Subcommittee Chair
Educación y fuerza laboral;House;119;2025;2026;Suzanne Bonamici;Suzanne;Bonamici;Democrat;Oregon;Subcommittee Ranking
Educación y fuerza laboral;House;119;2025;2026;Rick Allen;Rick;Allen;Democrat;;Subcommittee Chair
Educación y fuerza laboral;House;119;2025;2026;Mark DeSaulnier;Mark;DeSaulnier;Democrat;;Subcommittee Ranking
Educación y fuerza laboral;House;119;2025;2026;Burgess Owens;Burgess;Owens;Republican;Utah;Subcommittee Chair
Educación y fuerza laboral;House;119;2025;2026;Alma Adams;Alma;Adams;Democrat;;Subcommittee Ranking
Educación y fuerza laboral;House;119;2025;2026;Ryan Mackenzie;Ryan;Mackenzie;Republican;Pensilvania;Subcommittee Chair
Educación y fuerza laboral;House;119;2025;2026;Ilhan Omar;Ilhan;Omar;Democrat;Minnesota;Subcommittee Ranking
Energía y Comercio;House;119;2025;2026;Brett Guthrie;Brett;Guthrie;Republican;Kentucky;Chair
Energía y Comercio;House;119;2025;2026;Frank Pallone;Frank;Pallone;Democrat;;Ranking Member
Energía y Comercio;House;119;2025;2026;Gus Bilirakis;Gus;Bilirakis;Republican;;Subcommittee Chair
Energía y Comercio;House;119;2025;2026;Jan Schakowsky;Jan;Schakowsky;Democrat;;Subcommittee Ranking
Energía y Comercio;House;119;2025;2026;Rich Hudson;Rich;Hudson;Republican;Carolina del Norte;Subcommittee Chair
Energía y Comercio;House;119;2025;2026;Doris Matsui;Doris;Matsui;Democrat;CA;Subcommittee Ranking
Energía y Comercio;House;119;2025;2026;Bob Latta;Bob;Latta;Republican;Ohio;Subcommittee Chair
Energía y Comercio;House;119;2025;2026;Kathy Castor;Kathy;Castor;Democrat;;Subcommittee Ranking
Energía y Comercio;House;119;2025;2026;Gary Palmer;Gary;Palmer;Republican;;Subcommittee Chair
Energía y Comercio;House;119;2025;2026;Paul Tonko;Paul;Tonko;Democrat;;Subcommittee Ranking
Energía y Comercio;House;119;2025;2026;Morgan Griffith;Morgan;Griffith;Republican;;Subcommittee Chair
Energía y Comercio;House;119;2025;2026;Diana DeGette;Diana;DeGette;Democrat;Colorado;Subcommittee Ranking
Energía y Comercio;House;119;2025;2026;John Joyce;John;Joyce;Republican;;Subcommittee Chair
Energía y Comercio;House;119;2025;2026;Yvette Clarke;Yvette;Clarke;Democrat;;Subcommittee Ranking
Ética;House;119;2025;2026;Michael Guest;Michael;Guest;Republican;Mississippi;Chair
Ética;House;119;2025;2026;Mark DeSaulnier;Mark;DeSaulnier;Democrat;;Ranking Member
Ética;House;119;2025;2026;Nathaniel Moran;Nathaniel;Moran;Republican;;Subcommittee Chair
Ética;House;119;2025;2026;Sylvia García;Sylvia;García;Democrat;TX;Subcommittee Ranking
Ética;House;119;2025;2026;Andrew Garbarino;Andrew;Garbarino;Republican;Nueva York;Subcommittee Chair
Ética;House;119;2025;2026;Chrissy Houlahan;Chrissy;Houlahan;Democrat;Pensilvania;Subcommittee Ranking
Ética;House;119;2025;2026;Ben Cline;Ben;Cline;Republican;;Subcommittee Chair
Ética;House;119;2025;2026;Glenn Ivey;Glenn;Ivey;Democrat;Maryland;Subcommittee Ranking
Servicios financieros;House;119;2025;2026;French Hill;French;Hill;Republican;AR;Chair
Servicios financieros;House;119;2025;2026;Maxine Waters;Maxine;Waters;Democrat;;Ranking Member
Servicios financieros;House;119;2025;2026;Ann Wagner;Ann;Wagner;Unknown;;Subcommittee Chair
Servicios financieros;House;119;2025;2026;Brad Sherman;Brad;Sherman;Democrat;;Subcommittee Ranking
Servicios financieros;House;119;2025;2026;Bryan Steil;Bryan;Steil;Republican;Wisconsin;Subcommittee Chair
Servicios financieros;House;119;2025;2026;Steve Lynch;Steve;Lynch;Democrat;;Subcommittee Ranking
Servicios financieros;House;119;2025;2026;Andy Barr;Andy;Barr;Republican;Kentucky;Subcommittee Chair
Servicios financieros;House;119;2025;2026;Bill Foster;Bill;Foster;Democrat;;Subcommittee Ranking
Servicios financieros;House;119;2025;2026;Mike Flood;Mike;Flood;Republican;Nebraska;Subcommittee Chair
Servicios financieros;House;119;2025;2026;Emanuel Cleaver;Emanuel;Cleaver;Democrat;Missouri;Subcommittee Ranking
Servicios financieros;House;119;2025;2026;Frank Lucas;Frank;Lucas;Republican;Oklahoma;Subcommittee Chair
Servicios financieros;House;119;2025;2026;Juan Vargas;Juan;Vargas;Democrat;;Subcommittee Ranking
Servicios financieros;House;119;2025;2026;Warren Davidson;Warren;Davidson;Republican;;Subcommittee Chair
Servicios financieros;House;119;2025;2026;Joyce Beatty;Joyce;Beatty;Democrat;Ohio;Subcommittee Ranking
Servicios financieros;House;119;2025;2026;Dan Meuser;Dan;Meuser;Republican;;Subcommittee Chair
Servicios financieros;House;119;2025;2026;Al Green;Al;Green;Democrat;;Subcommittee Ranking
Asuntos exteriores;House;119;2025;2026;Brian Mast;Brian;Mast;Republican;Florida;Chair
Asuntos exteriores;House;119;2025;2026;Gregory Meeks;Gregory;Meeks;Democrat;;Ranking Member
Asuntos exteriores;House;119;2025;2026;Chris Smith;Chris;Smith;Republican;Nueva Jersey;Subcommittee Chair
Asuntos exteriores;House;119;2025;2026;Sara Jacobs;Sara;Jacobs;Democrat;;Subcommittee Ranking
Asuntos exteriores;House;119;2025;2026;Young Kim;Young;Kim;Republican;CA;Subcommittee Chair
Asuntos exteriores;House;119;2025;2026;Ami Bera;Ami;Bera;Democrat;;Subcommittee Ranking
Asuntos exteriores;House;119;2025;2026;Keith Self;Keith;Self;Republican;;Subcommittee Chair
Asuntos exteriores;House;119;2025;2026;Bill Keating;Bill;Keating;Democrat;;Subcommittee Ranking
Asuntos exteriores;House;119;2025;2026;Mike Lawler;Mike;Lawler;Republican;Nueva York;Subcommittee Chair
Asuntos exteriores;House;119;2025;2026;Sheila Cherfilus-McCormick;Sheila;Cherfilus-McCormick;Democrat;FL;Subcommittee Ranking
Asuntos exteriores;House;119;2025;2026;Cory Mills;Cory;Mills;Republican;;Subcommittee Chair
Asuntos exteriores;House;119;2025;2026;Jared Moskowitz;Jared;Moskowitz;Democrat;;Subcommittee Ranking
Asuntos exteriores;House;119;2025;2026;Bill Huizenga;Bill;Huizenga;Republican;Michigan;Subcommittee Chair
Asuntos exteriores;House;119;2025;2026;Sydney Kamlager-Dove;Sydney;Kamlager-Dove;Democrat;;Subcommittee Ranking
Asuntos exteriores;House;119;2025;2026;María Elvira Salazar;María;Elvira Salazar;Republican;FL;Subcommittee Chair
Asuntos exteriores;House;119;2025;2026;Joaquín Castro;Joaquín;Castro;Democrat;TX;Subcommittee Ranking
Seguridad Nacional;House;119;2025;2026;Andrew Garbarino;Andrew;Garbarino;Republican;Nueva York;Chair
Seguridad Nacional;House;119;2025;2026;Bennie Thompson;Bennie;Thompson;Democrat;Mississippi;Ranking Member
Seguridad Nacional;House;119;2025;2026;Michael Guest;Michael;Guest;Republican;Mississippi;Subcommittee Chair
Seguridad Nacional;House;119;2025;2026;Lou Correa;Lou;Correa;Democrat;;Subcommittee Ranking
Seguridad Nacional;House;119;2025;2026;August Pfluger;August;Pfluger;Republican;Texas;Subcommittee Chair
Seguridad Nacional;House;119;2025;2026;Seth Magaziner;Seth;Magaziner;Democrat;Rhode Island;Subcommittee Ranking
Seguridad Nacional;House;119;2025;2026;Eric Swalwell;Eric;Swalwell;Democrat;;Subcommittee Ranking
Seguridad Nacional;House;119;2025;2026;Dale Strong;Dale;Strong;Republican;;Subcommittee Chair
Seguridad Nacional;House;119;2025;2026;Tim Kennedy;Tim;Kennedy;Democrat;;Subcommittee Ranking
Seguridad Nacional;House;119;2025;2026;Mike McCaul;Mike;McCaul;Republican;;Subcommittee Chair
